division,team,games,wins,losses,win_pct,ab,hr,hr_pct
JUCO,Odessa College,57,43,14,0.7544,1589,106,0.0667
JUCO,Olney Central College,46,11,32,0.2391,1173,28,0.0239
JUCO,Otero College,52,17,26,0.3269,1467,79,0.053900000000000003
JUCO,Paris Junior College,56,44,12,0.7857,1532,85,0.0555
JUCO,Pensacola State College,44,23,21,0.5227,1179,39,0.0331
JUCO,Pima Community College,57,43,11,0.7544,1610,73,0.0453
JUCO,Polk State College,52,11,37,0.2115,1221,2,0.0016
JUCO,Pratt Community College,54,8,14,0.1481,1297,37,0.0285
JUCO,Ranger College,58,10,41,0.1724,1393,12,0.0086
JUCO,Rend Lake College,42,7,23,0.1667,1054,27,0.0256
JUCO,Roane State Community College,49,13,12,0.2653,1332,37,0.0278
JUCO,Rose State College,54,28,17,0.5185,1460,53,0.0363
JUCO,Salt Lake Community College,56,44,8,0.7857,1604,89,0.0555
JUCO,San Jacinto College-South,67,30,25,0.4478,1607,50,0.0311
JUCO,Santa Fe College,61,37,21,0.6066,1606,54,0.0336
JUCO,Seminole State College (OK),51,41,9,0.8039,1367,73,0.0534
JUCO,Seminole State College of Florida,59,32,27,0.5424,1598,42,0.0263
JUCO,Seward County Community College,49,26,22,0.5306,1336,54,0.0404
JUCO,Shawnee Community College,52,11,33,0.2115,1236,12,0.0097
JUCO,Shelton State Community College,48,13,13,0.2708,1224,17,0.0139
JUCO,Snead State Community College,56,28,27,0.5,1551,39,0.0251
JUCO,Snow College,60,33,27,0.55,1651,100,0.0606
JUCO,South Georgia State College,44,13,31,0.2955,1111,11,0.0099
JUCO,Southeastern Community College-Whiteville,45,20,6,0.4444,1172,47,0.0401
JUCO,Southeastern Illinois College,59,31,28,0.5254,1600,17,0.0106
JUCO,Southern Union State Community College,46,11,21,0.2391,1215,38,0.0313
JUCO,Southwest Tennessee Community College,59,21,37,0.3559,1615,34,0.0211
JUCO,Southwestern Community College (IA),44,14,30,0.3182,1161,29,0.025
JUCO,Southwestern Illinois College,50,17,29,0.34,1272,18,0.0142
JUCO,Spartanburg Methodist,35,10,8,0.2857,909,4,0.0044
JUCO,St. Charles Community College,54,24,27,0.4444,1408,36,0.0256
JUCO,St. Petersburg College,58,19,34,0.3276,1525,14,0.0092
JUCO,"State College of Florida, Manatee-Sarasota",52,15,9,0.2885,1318,19,0.0144
JUCO,State Fair Community College,54,23,18,0.4259,1467,74,0.0504
JUCO,Tallahassee Community College,42,10,21,0.2381,1077,15,0.0139
JUCO,Temple College,66,53,12,0.803,1805,88,0.0488
JUCO,Three Rivers Community College - MO,55,32,21,0.5818,1509,54,0.0358
JUCO,Trinidad State College,56,40,16,0.7143,1529,116,0.0759
JUCO,Trinity Valley Community College,61,45,15,0.7377,1670,57,0.0341
JUCO,Tyler Junior College,61,36,24,0.5902,1665,98,0.0589
JUCO,USC Sumter,37,4,16,0.1081,994,1,0.001
JUCO,USC Union,45,18,24,0.4,1178,23,0.0195
JUCO,Utah State Eastern,51,26,25,0.5098,1313,52,0.0396
JUCO,Vernon College,49,17,27,0.3469,1256,30,0.0239
JUCO,Volunteer State Community College,64,43,21,0.6719,1783,61,0.0342
JUCO,Wabash Valley College,58,29,25,0.5,1506,34,0.0226
JUCO,Wallace State Community College - Hanceville,50,36,14,0.72,1414,71,0.0502
JUCO,Walters State Community College,57,46,11,0.807,1621,68,0.0419
JUCO,Weatherford College,52,31,21,0.5962,1447,36,0.0249
JUCO,Western Nebraska Community College,38,14,21,0.3684,1027,25,0.0243
JUCO,Western Texas College,58,23,35,0.3966,1473,30,0.0204
